name,bus,pgini_mw,qgini_mvar,sgn_mva,q_min_attr,q_min_mvar_pf,q_max_attr,q_max_mvar_pf,control_attr,control_value,usetp_pu,p_result_mw,q_result_mvar,outserv,desc
gen_DE0_12_CCGT,DE0_12,0.0056416853331029415,0.0,999.5770263671875,q_min,-202.9727783203125,q_max,202.9727783203125,av_mode,constv,1.0,0.005641606270160082,759.3208504991362,0.0,[]
gen_DE0_12_OCGT,DE0_12,0.003230753820389509,0.0,355.766357421875,q_min,-72.24143981933594,q_max,72.24143981933594,av_mode,constq,1.0,0.003230753820389509,2.168404344971009e-19,0.0,[]
gen_DE0_12_biomass,DE0_12,365.4674987792969,0.0,365.56854248046875,q_min,-74.23185729980469,q_max,74.23185729980469,av_mode,constq,1.0,365.4674987792969,0.0,0.0,[]
gen_DE0_12_lignite,DE0_12,0.2551409900188446,0.0,962.7890014648438,q_min,-195.5026397705078,q_max,195.5026397705078,av_mode,constq,1.0,0.2551409900188446,0.0,0.0,[]
gen_DE0_12_oil,DE0_12,0.0017415836919099092,0.0,172.36599731445312,q_min,-35.00040817260742,q_max,35.00040817260742,av_mode,constq,1.0,0.0017415836919099092,-1.0842021724855044e-19,0.0,[]
gen_DE0_12_ror,DE0_12,8.631128311157227,0.0,20.336000442504883,q_min,-4.129400730133057,q_max,4.129400730133057,av_mode,constq,1.0,8.631128311157227,0.0,0.0,[]
gen_DE0_12_waste,DE0_12,0.015441845171153545,0.0,213.4499969482422,q_min,-43.342872619628906,q_max,43.342872619628906,av_mode,constq,1.0,0.015441845171153545,8.673617379884035e-19,0.0,[]
gen_DE0_13_0_onwind,DE0_13,2.456002950668335,0.0,73.87582397460938,q_min,-15.001126289367676,q_max,15.001126289367676,av_mode,constq,1.0,2.4560029506683345,0.0,0.0,[]
gen_DE0_13_0_solar,DE0_13,-0.0,0.0,16185.837890625,q_min,-3286.674560546875,q_max,3286.674560546875,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_DE0_13_0_solar-hsat,DE0_13,-0.0,0.0,1.0,q_min,-0.03328198567032814,q_max,0.03328198567032814,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_DE0_13_CCGT,DE0_13,0.0048895180225372314,0.0,58.23073959350586,q_min,-11.82425594329834,q_max,11.82425594329834,av_mode,constq,1.0,0.0048895180225372314,-5.421010862427522e-20,0.0,[]
gen_DE0_13_OCGT,DE0_13,0.0036788431461900473,0.0,60.162071228027344,q_min,-12.216429710388184,q_max,12.216429710388184,av_mode,constq,1.0,0.003678843146190047,0.0,0.0,[]
gen_DE0_13_biomass,DE0_13,121.01864624023438,0.0,121.0465316772461,q_min,-24.579545974731445,q_max,24.579545974731445,av_mode,constv,1.0,121.01864636041971,-217.58162030453775,0.0,[]
gen_DE0_13_oil,DE0_13,0.0016933075385168195,0.0,66.288818359375,q_min,-13.460518836975098,q_max,13.460518836975098,av_mode,constq,1.0,0.0016933075385168193,1.3552527156068805e-20,0.0,[]
gen_DE0_13_ror,DE0_13,47.70796585083008,0.0,112.3270034790039,q_min,-22.808969497680664,q_max,22.808969497680664,av_mode,constq,1.0,47.70796585083007,0.0,0.0,[]
gen_DE0_13_waste,DE0_13,0.018941370770335197,0.0,16.799999237060547,q_min,-3.4113855361938477,q_max,3.4113855361938477,av_mode,constq,1.0,0.018941370770335197,0.0,0.0,[]
gen_DE0_14_0_onwind,DE0_14,-0.0,0.0,344.4602355957031,q_min,-69.94563293457031,q_max,69.94563293457031,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_DE0_14_0_solar,DE0_14,-0.0,0.0,12566.455078125,q_min,-2551.7275390625,q_max,2551.7275390625,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_DE0_14_0_solar-hsat,DE0_14,-0.0,0.0,1.0,q_min,-0.030848056077957153,q_max,0.030848056077957153,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_DE0_14_CCGT,DE0_14,0.00593304168432951,0.0,228.03904724121094,q_min,-46.30530548095703,q_max,46.30530548095703,av_mode,constv,1.0,0.005932478194182522,894.4551041952635,0.0,[]
gen_DE0_14_OCGT,DE0_14,0.003762075211852789,0.0,102.156005859375,q_min,-20.743661880493164,q_max,20.743661880493164,av_mode,constq,1.0,0.003762075211852789,0.0,0.0,[]
gen_DE0_14_biomass,DE0_14,84.35787200927734,0.0,84.38587951660156,q_min,-17.135284423828125,q_max,17.135284423828125,av_mode,constq,1.0,84.35787200927734,0.0,0.0,[]
gen_DE0_14_oil,DE0_14,0.0017001056112349033,0.0,19.64299964904785,q_min,-3.9886813163757324,q_max,3.9886813163757324,av_mode,constq,1.0,0.0017001056112349033,0.0,0.0,[]
gen_DE0_14_ror,DE0_14,270.1608581542969,0.0,636.010986328125,q_min,-129.1475372314453,q_max,129.1475372314453,av_mode,constq,1.0,270.16085815429693,-7.105427357601002e-15,0.0,[]
gen_DE0_14_waste,DE0_14,0.021576905623078346,0.0,24.399999618530273,q_min,-4.954631328582764,q_max,4.954631328582764,av_mode,constq,1.0,0.021576905623078343,0.0,0.0,[]
gen_DE0_15_0_onwind,DE0_15,489.0849609375,0.0,2973.380859375,q_min,-603.770751953125,q_max,603.770751953125,av_mode,constq,1.0,489.08496093750006,0.0,0.0,[]
gen_DE0_15_0_solar,DE0_15,-0.0,0.0,17307.537109375,q_min,-3514.4453125,q_max,3514.4453125,av_mode,constq,1.0,0.0,0.0,0.0,[]
