name,bus,p_schedule_mw,p_result_raw_mw,result_sign_reversed,p_result_mw,delta_p_mw,participates_observed,observed_share
gen_DE0_2_OCGT,DE0_2,0.0035165275912731886,0.0035165275912731847,0,0.0035165275912731847,-3.903127820947816e-18,0,0.0
gen_CH0_0_waste,CH0_0,0.021942362189292908,0.021942362189292904,0,0.021942362189292904,-3.469446951953614e-18,0,0.0
gen_DE0_0_waste,DE0_0,0.01760440692305565,0.017604406923055652,0,0.017604406923055652,3.469446951953614e-18,0,0.0
gen_DE0_13_waste,DE0_13,0.018941370770335197,0.0189413707703352,0,0.0189413707703352,3.469446951953614e-18,0,0.0
gen_DE0_14_waste,DE0_14,0.021576905623078346,0.02157690562307835,0,0.02157690562307835,3.469446951953614e-18,0,0.0
gen_DE0_16_waste,DE0_16,0.014953960664570332,0.014953960664570328,0,0.014953960664570328,-3.469446951953614e-18,0,0.0
gen_DE0_17_waste,DE0_17,0.01677827723324299,0.016778277233242992,0,0.016778277233242992,3.469446951953614e-18,0,0.0
gen_DE0_19_lignite,DE0_19,0.028484119102358818,0.02848411910235882,0,0.02848411910235882,3.469446951953614e-18,0,0.0
gen_DE0_23_waste,DE0_23,0.01867786794900894,0.018677867949008938,0,0.018677867949008938,-3.469446951953614e-18,0,0.0
gen_DE0_24_waste,DE0_24,0.01282260287553072,0.012822602875530723,0,0.012822602875530723,3.469446951953614e-18,0,0.0
gen_DE0_26_waste,DE0_26,0.020344600081443787,0.020344600081443783,0,0.020344600081443783,-3.469446951953614e-18,0,0.0
gen_DE0_3_waste,DE0_3,0.022491810843348503,0.0224918108433485,0,0.0224918108433485,-3.469446951953614e-18,0,0.0
gen_DE0_4_waste,DE0_4,0.015336438082158566,0.015336438082158569,0,0.015336438082158569,3.469446951953614e-18,0,0.0
gen_DE0_6_waste,DE0_6,0.016658317297697067,0.016658317297697064,0,0.016658317297697064,-3.469446951953614e-18,0,0.0
gen_FR0_10_waste,FR0_10,0.02198018878698349,0.021980188786983487,0,0.021980188786983487,-3.469446951953614e-18,0,0.0
gen_FR0_9_waste,FR0_9,0.021526150405406952,0.021526150405406955,0,0.021526150405406955,3.469446951953614e-18,0,0.0
gen_PL0_2_waste,PL0_2,0.017923813313245773,0.017923813313245777,0,0.017923813313245777,3.469446951953614e-18,0,0.0
gen_hvdc_recv_DC5_bus1,DE0_26,0.02831193618476391,0.028311936184763912,0,0.028311936184763912,3.469446951953614e-18,0,0.0
gen_DE0_21_CCGT,DE0_21,0.0052082734182477,0.005208273418247702,0,0.005208273418247702,2.6020852139652106e-18,0,0.0
gen_DE0_12_waste,DE0_12,0.015441845171153545,0.015441845171153547,0,0.015441845171153547,1.734723475976807e-18,0,0.0
gen_DE0_18_waste,DE0_18,0.014211532659828663,0.014211532659828665,0,0.014211532659828665,1.734723475976807e-18,0,0.0
gen_DE0_2_CCGT,DE0_2,0.00501625332981348,0.005016253329813479,0,0.005016253329813479,-1.734723475976807e-18,0,0.0
gen_DE0_20_CCGT,DE0_20,0.004759580362588167,0.004759580362588169,0,0.004759580362588169,1.734723475976807e-18,0,0.0
gen_DE0_28_CCGT,DE0_28,0.005015637259930372,0.005015637259930374,0,0.005015637259930374,1.734723475976807e-18,0,0.0
gen_DE0_31_waste,DE0_31,0.015009993687272072,0.01500999368727207,0,0.01500999368727207,-1.734723475976807e-18,0,0.0
gen_DE0_35_CCGT,DE0_35,0.006260956637561321,0.006260956637561323,0,0.006260956637561323,1.734723475976807e-18,0,0.0
gen_DE0_5_waste,DE0_5,0.013480044901371002,0.013480044901371004,0,0.013480044901371004,1.734723475976807e-18,0,0.0
gen_DK0_0_waste,DK0_0,0.012510939501225948,0.012510939501225947,0,0.012510939501225947,-1.734723475976807e-18,0,0.0
gen_FR0_10_CCGT,FR0_10,0.00663655623793602,0.006636556237936018,0,0.006636556237936018,-1.734723475976807e-18,0,0.0
gen_FR0_2_CCGT,FR0_2,0.006601603236049414,0.006601603236049415,0,0.006601603236049415,1.734723475976807e-18,0,0.0
gen_DE0_17_OCGT,DE0_17,0.003579947864636779,0.0035799478646367775,0,0.0035799478646367775,-1.3010426069826053e-18,0,0.0
gen_BE0_0_oil,BE0_0,0.0016920482739806175,0.0016920482739806167,0,0.0016920482739806167,-8.673617379884035e-19,0,0.0
gen_BE0_1_CCGT,BE0_1,0.006601828150451183,0.006601828150451184,0,0.006601828150451184,8.673617379884035e-19,0,0.0
gen_CH0_0_CCGT,CH0_0,0.00656907306984067,0.006569073069840669,0,0.006569073069840669,-8.673617379884035e-19,0,0.0
gen_DE0_1_CCGT,DE0_1,0.004534551408141851,0.0045345514081418506,0,0.0045345514081418506,-8.673617379884035e-19,0,0.0
gen_DE0_13_CCGT,DE0_13,0.0048895180225372314,0.004889518022537232,0,0.004889518022537232,8.673617379884035e-19,0,0.0
gen_DE0_14_OCGT,DE0_14,0.003762075211852789,0.003762075211852788,0,0.003762075211852788,-8.673617379884035e-19,0,0.0
gen_DE0_16_OCGT,DE0_16,0.0034796588588505983,0.0034796588588505975,0,0.0034796588588505975,-8.673617379884035e-19,0,0.0
gen_DE0_17_CCGT,DE0_17,0.004346940200775862,0.004346940200775863,0,0.004346940200775863,8.673617379884035e-19,0,0.0
gen_DE0_18_OCGT,DE0_18,0.0034361970610916615,0.0034361970610916623,0,0.0034361970610916623,8.673617379884035e-19,0,0.0
gen_DE0_23_CCGT,DE0_23,0.005002943333238363,0.005002943333238362,0,0.005002943333238362,-8.673617379884035e-19,0,0.0
gen_DE0_24_CCGT,DE0_24,0.005000486969947815,0.005000486969947816,0,0.005000486969947816,8.673617379884035e-19,0,0.0
gen_DE0_26_CCGT,DE0_26,0.004641348030418158,0.004641348030418157,0,0.004641348030418157,-8.673617379884035e-19,0,0.0
gen_DE0_27_CCGT,DE0_27,0.0052434103563427925,0.005243410356342792,0,0.005243410356342792,-8.673617379884035e-19,0,0.0
gen_DE0_27_OCGT,DE0_27,0.0035334548447281122,0.0035334548447281114,0,0.0035334548447281114,-8.673617379884035e-19,0,0.0
gen_DE0_28_OCGT,DE0_28,0.003527153981849551,0.0035271539818495503,0,0.0035271539818495503,-8.673617379884035e-19,0,0.0
gen_DE0_3_CCGT,DE0_3,0.00668708560988307,0.006687085609883071,0,0.006687085609883071,8.673617379884035e-19,0,0.0
gen_DE0_3_OCGT,DE0_3,0.0036037180107086897,0.0036037180107086906,0,0.0036037180107086906,8.673617379884035e-19,0,0.0
gen_DE0_30_CCGT,DE0_30,0.0034980543423444033,0.0034980543423444024,0,0.0034980543423444024,-8.673617379884035e-19,0,0.0
gen_DE0_31_CCGT,DE0_31,0.0037816178519278765,0.0037816178519278756,0,0.0037816178519278756,-8.673617379884035e-19,0,0.0
gen_DE0_33_OCGT,DE0_33,0.003482248168438673,0.003482248168438674,0,0.003482248168438674,8.673617379884035e-19,0,0.0
gen_DE0_34_CCGT,DE0_34,0.004210738930851221,0.00421073893085122,0,0.00421073893085122,-8.673617379884035e-19,0,0.0
gen_DE0_35_OCGT,DE0_35,0.0037010142114013433,0.0037010142114013425,0,0.0037010142114013425,-8.673617379884035e-19,0,0.0
gen_DE0_5_OCGT,DE0_5,0.0033993220422416925,0.0033993220422416917,0,0.0033993220422416917,-8.673617379884035e-19,0,0.0
gen_DE0_6_CCGT,DE0_6,0.004132604692131281,0.004132604692131282,0,0.004132604692131282,8.673617379884035e-19,0,0.0
gen_DE0_8_CCGT,DE0_8,0.005402920767664909,0.0054029207676649085,0,0.0054029207676649085,-8.673617379884035e-19,0,0.0
